7/17/2023,88907.70313,88907.70313,88230.3125,88738.35938,88738.35938,1525380,VCB.VN
7/18/2023,88823.03125,88907.70313,88314.98438,88314.98438,88314.98438,975506,VCB.VN
7/19/2023,88569.00781,90685.85938,88569.00781,90177.8125,90177.8125,3054302,VCB.VN
7/20/2023,89331.07813,90093.14063,87722.26563,88907.70313,88907.70313,1038813,VCB.VN
7/21/2023,88907.70313,88907.70313,88060.96875,88907.70313,88907.70313,2153467,VCB.VN
7/24/2023,88992.38281,89246.39844,88484.33594,88569.00781,88569.00781,1079105,VCB.VN
7/26/2023,91900,93400,91900,93400,93400,1737418,VCB.VN
7/28/2023,92700,93000,91800,93000,93000,1207918,VCB.VN
8/3/2023,91500,91500,90500,90600,90600,970917,VCB.VN
8/4/2023,90700,91100,90100,90100,90100,1231617,VCB.VN
8/7/2023,90100,90800,90000,90800,90800,1244726,VCB.VN
8/8/2023,90800,91200,90100,90700,90700,823421,VCB.VN
8/9/2023,90700,90900,90100,90200,90200,703631,VCB.VN
8/10/2023,90500,90500,88500,88500,88500,1427128,VCB.VN
8/11/2023,88500,90400,88500,90400,90400,940830,VCB.VN
8/14/2023,90300,90300,89000,89000,89000,1584830,VCB.VN
8/15/2023,90000,90000,88500,88900,88900,1168516,VCB.VN
8/16/2023,88800,89400,88700,89200,89200,840335,VCB.VN
8/17/2023,89200,89800,88600,89400,89400,2165117,VCB.VN
8/18/2023,89800,90300,89000,89500,89500,2543404,VCB.VN
8/21/2023,89700,90200,89200,89800,89800,1730933,VCB.VN
8/22/2023,89500,89700,87800,88400,88400,1938024,VCB.VN
8/23/2023,88900,88900,86100,86300,86300,1774811,VCB.VN
8/24/2023,86300,88200,86000,87000,87000,973803,VCB.VN
8/25/2023,86200,87000,86000,86200,86200,1466600,VCB.VN
8/28/2023,86400,87500,86200,87000,87000,1448900,VCB.VN
8/29/2023,87000,88500,86900,88400,88400,1453903,VCB.VN
8/30/2023,88500,89500,88500,89100,89100,1401002,VCB.VN
8/31/2023,89100,89600,88300,89100,89100,2470000,VCB.VN
9/5/2023,89100,90700,89100,90100,90100,2013202,VCB.VN
9/6/2023,90200,90200,89700,90200,90200,2057603,VCB.VN
9/7/2023,90000,90800,89500,89500,89500,1958302,VCB.VN
9/8/2023,89500,89500,89100,89500,89500,1381905,VCB.VN
9/11/2023,89600,90000,88000,88500,88500,2592500,VCB.VN
9/12/2023,89000,90000,88900,89900,89900,1612100,VCB.VN
9/13/2023,90000,90000,88900,89100,89100,1675000,VCB.VN
9/14/2023,89000,89500,88100,89100,89100,1552600,VCB.VN
9/15/2023,88900,89800,88600,89800,89800,2235400,VCB.VN
9/18/2023,89500,89700,88300,88800,88800,789102,VCB.VN
9/19/2023,88800,89200,86000,88100,88100,1210203,VCB.VN
9/20/2023,88100,88400,86400,88000,88000,1057027,VCB.VN
9/21/2023,88000,88000,86800,87000,87000,1359910,VCB.VN
9/22/2023,86400,89500,86000,89300,89300,2679610,VCB.VN
9/25/2023,89000,89500,88300,89300,89300,2303421,VCB.VN
9/26/2023,89200,89400,86900,87000,87000,1663215,VCB.VN
9/27/2023,87600,89000,87000,87800,87800,1368902,VCB.VN
9/28/2023,87200,88300,86600,88000,88000,1065102,VCB.VN
9/29/2023,88300,88300,87100,87500,87500,613316,VCB.VN
10/2/2023,87100,87200,86500,86500,86500,765716,VCB.VN
10/3/2023,86500,86700,85800,86300,86300,1066600,VCB.VN
10/4/2023,86300,86300,85300,86300,86300,922800,VCB.VN
10/5/2023,86000,86000,84500,84500,84500,1014000,VCB.VN
10/6/2023,84500,85400,83500,85400,85400,800900,VCB.VN
10/9/2023,85400,85400,84000,84600,84600,1212100,VCB.VN
10/10/2023,84600,86200,84600,86100,86100,802101,VCB.VN
10/11/2023,86200,86500,85700,86500,86500,815401,VCB.VN
10/12/2023,86900,86900,85500,86000,86000,882100,VCB.VN
10/13/2023,86000,86600,85500,86600,86600,788100,VCB.VN
10/16/2023,85600,86600,85600,86100,86100,551300,VCB.VN
10/17/2023,86100,86500,85500,85900,85900,488400,VCB.VN
10/18/2023,85500,86000,85000,85900,85900,1266400,VCB.VN
10/19/2023,85500,86000,84100,84500,84500,1408600,VCB.VN
10/20/2023,83500,85300,82700,84800,84800,938400,VCB.VN
10/23/2023,84500,84500,82500,84500,84500,1130600,VCB.VN
10/24/2023,84500,86500,83900,86000,86000,994000,VCB.VN
10/25/2023,85100,85800,84600,85800,85800,924100,VCB.VN
10/26/2023,85000,86000,83500,84500,84500,1520300,VCB.VN
10/27/2023,84600,85000,83800,85000,85000,911400,VCB.VN
10/30/2023,83500,86000,83500,85900,85900,618900,VCB.VN
10/31/2023,85900,86900,84900,86800,86800,1438300,VCB.VN
11/1/2023,86800,87800,86100,87800,87800,1550100,VCB.VN
11/2/2023,88000,89000,86600,89000,89000,1114500,VCB.VN
11/3/2023,89000,89400,88100,88900,88900,1157600,VCB.VN
11/6/2023,88900,89800,88500,89500,89500,833800,VCB.VN
11/7/2023,89000,89300,88300,88300,88300,518900,VCB.VN
11/8/2023,88000,89700,87900,89500,89500,1329300,VCB.VN
11/9/2023,89500,89500,87900,87900,87900,2291800,VCB.VN
11/10/2023,87100,87500,86000,86000,86000,1411000,VCB.VN
11/13/2023,86000,86100,85400,85500,85500,3242786,VCB.VN
11/14/2023,86000,86500,85400,86000,86000,1086500,VCB.VN
11/15/2023,86500,87700,86500,87700,87700,4172800,VCB.VN
11/16/2023,87000,88000,86700,88000,88000,1343800,VCB.VN
11/17/2023,87800,87900,85500,85600,85600,1693000,VCB.VN
